,0,1,2,3
755,0.13,0.36,38,62
756,0.13,0.37,38,61
757,0.13,0.38,38,59
758,0.13,0.39,38,58
759,0.13,0.4,38,57
760,0.13,0.41,38,54
761,0.13,0.42,38,52
762,0.13,0.43,38,46
763,0.13,0.44,38,45
764,0.13,0.45,38,43
765,0.13,0.46,38,39
766,0.13,0.47,38,36
767,0.13,0.48,38,34
768,0.13,0.49,38,31
769,0.13,0.5,38,29
770,0.13,0.51,38,26
771,0.13,0.52,38,23
772,0.13,0.53,38,22
773,0.13,0.54,38,22
774,0.13,0.55,38,18
775,0.13,0.56,38,17
776,0.13,0.57,38,16
777,0.13,0.58,38,12
778,0.13,0.59,38,9
779,0.13,0.6,38,8
780,0.14,0.01,33,60
781,0.14,0.02,33,60
782,0.14,0.03,33,60
783,0.14,0.04,33,60
784,0.14,0.05,33,60
785,0.14,0.06,33,60
786,0.14,0.07,33,60
787,0.14,0.08,33,60
788,0.14,0.09,33,60
789,0.14,0.1,33,60
790,0.14,0.11,33,60
791,0.14,0.12,33,60
792,0.14,0.13,33,60
793,0.14,0.14,33,60
794,0.14,0.15,33,60
795,0.14,0.16,33,60
796,0.14,0.17,33,60
797,0.14,0.18,33,60
798,0.14,0.19,33,60
799,0.14,0.2,33,60
800,0.14,0.21,33,60
801,0.14,0.22,33,60
802,0.14,0.23,33,60
803,0.14,0.24,33,60
804,0.14,0.25,33,59
805,0.14,0.26,33,57
806,0.14,0.27,33,57
807,0.14,0.28,33,57
808,0.14,0.29,33,57
809,0.14,0.3,33,57
810,0.14,0.31,33,57
811,0.14,0.32,33,57
812,0.14,0.33,33,56
813,0.14,0.34,33,56
814,0.14,0.35,33,55
815,0.14,0.36,33,53
816,0.14,0.37,33,52
817,0.14,0.38,33,50
818,0.14,0.39,33,49
819,0.14,0.4,33,48
820,0.14,0.41,33,47
821,0.14,0.42,33,45
822,0.14,0.43,33,39
823,0.14,0.44,33,38
824,0.14,0.45,33,36
825,0.14,0.46,33,32
826,0.14,0.47,33,29
827,0.14,0.48,33,27
828,0.14,0.49,33,24
829,0.14,0.5,33,23
830,0.14,0.51,33,21
831,0.14,0.52,33,18
832,0.14,0.53,33,17
833,0.14,0.54,33,17
834,0.14,0.55,33,15
835,0.14,0.56,33,15
836,0.14,0.57,33,14
837,0.14,0.58,33,10
838,0.14,0.59,33,8
839,0.14,0.6,33,7
840,0.15,0.01,31,48
841,0.15,0.02,31,48
842,0.15,0.03,31,48
843,0.15,0.04,31,48
844,0.15,0.05,31,48
845,0.15,0.06,31,48
846,0.15,0.07,31,48
847,0.15,0.08,31,48
848,0.15,0.09,31,48
849,0.15,0.1,31,48
850,0.15,0.11,31,48
851,0.15,0.12,31,48
852,0.15,0.13,31,48
853,0.15,0.14,31,48
854,0.15,0.15,31,48
855,0.15,0.16,31,48
856,0.15,0.17,31,48
857,0.15,0.18,31,48
858,0.15,0.19,31,48
859,0.15,0.2,31,48
860,0.15,0.21,31,48
861,0.15,0.22,31,48
862,0.15,0.23,31,48
863,0.15,0.24,31,48
864,0.15,0.25,31,48
865,0.15,0.26,31,48
866,0.15,0.27,31,48
867,0.15,0.28,31,48
868,0.15,0.29,31,48
869,0.15,0.3,31,48
870,0.15,0.31,31,48
871,0.15,0.32,31,48
872,0.15,0.33,31,47
873,0.15,0.34,31,47
874,0.15,0.35,31,46
875,0.15,0.36,31,45
876,0.15,0.37,31,45
877,0.15,0.38,31,44
878,0.15,0.39,31,43
879,0.15,0.4,31,42
880,0.15,0.41,31,41
881,0.15,0.42,31,39
882,0.15,0.43,31,33
883,0.15,0.44,31,33
884,0.15,0.45,31,31
885,0.15,0.46,31,27
886,0.15,0.47,31,24
887,0.15,0.48,31,22
888,0.15,0.49,31,20
889,0.15,0.5,31,19
890,0.15,0.51,31,17
891,0.15,0.52,31,14
892,0.15,0.53,31,13
893,0.15,0.54,31,13
894,0.15,0.55,31,11
895,0.15,0.56,31,11
896,0.15,0.57,31,11
897,0.15,0.58,31,7
898,0.15,0.59,31,6
899,0.15,0.6,31,5
900,0.16,0.01,30,48
901,0.16,0.02,30,48
902,0.16,0.03,30,48
903,0.16,0.04,30,48
904,0.16,0.05,30,48
905,0.16,0.06,30,48
906,0.16,0.07,30,48
907,0.16,0.08,30,48
908,0.16,0.09,30,48
909,0.16,0.1,30,48
910,0.16,0.11,30,48
911,0.16,0.12,30,48
912,0.16,0.13,30,48
913,0.16,0.14,30,48
914,0.16,0.15,30,48
915,0.16,0.16,30,48
916,0.16,0.17,30,48
917,0.16,0.18,30,48
918,0.16,0.19,30,48
919,0.16,0.2,30,48
920,0.16,0.21,30,48
921,0.16,0.22,30,48
922,0.16,0.23,30,48
923,0.16,0.24,30,48
924,0.16,0.25,30,48
925,0.16,0.26,30,48
926,0.16,0.27,30,48
927,0.16,0.28,30,48
928,0.16,0.29,30,48
929,0.16,0.3,30,48
930,0.16,0.31,30,48
931,0.16,0.32,30,48
932,0.16,0.33,30,47
933,0.16,0.34,30,47
934,0.16,0.35,30,46
935,0.16,0.36,30,45
936,0.16,0.37,30,45
937,0.16,0.38,30,44
938,0.16,0.39,30,43
939,0.16,0.4,30,42
940,0.16,0.41,30,41
941,0.16,0.42,30,39
942,0.16,0.43,30,33
943,0.16,0.44,30,33
944,0.16,0.45,30,31
945,0.16,0.46,30,27
946,0.16,0.47,30,24
947,0.16,0.48,30,22
948,0.16,0.49,30,20
949,0.16,0.5,30,19
950,0.16,0.51,30,17
951,0.16,0.52,30,14
952,0.16,0.53,30,13
953,0.16,0.54,30,13
954,0.16,0.55,30,11
955,0.16,0.56,30,11
956,0.16,0.57,30,11
957,0.16,0.58,30,7
958,0.16,0.59,30,6
959,0.16,0.6,30,5
960,0.17,0.01,28,44
961,0.17,0.02,28,44
962,0.17,0.03,28,44
963,0.17,0.04,28,44
964,0.17,0.05,28,44
965,0.17,0.06,28,44
966,0.17,0.07,28,44
967,0.17,0.08,28,44
968,0.17,0.09,28,44
969,0.17,0.1,28,44
970,0.17,0.11,28,44
971,0.17,0.12,28,44
972,0.17,0.13,28,44
973,0.17,0.14,28,44
974,0.17,0.15,28,44
975,0.17,0.16,28,44
976,0.17,0.17,28,44
977,0.17,0.18,28,44
978,0.17,0.19,28,44
979,0.17,0.2,28,44
980,0.17,0.21,28,44
981,0.17,0.22,28,44
982,0.17,0.23,28,44
983,0.17,0.24,28,44
984,0.17,0.25,28,44
985,0.17,0.26,28,44
986,0.17,0.27,28,44
987,0.17,0.28,28,44
988,0.17,0.29,28,44
989,0.17,0.3,28,44
990,0.17,0.31,28,44
991,0.17,0.32,28,44
992,0.17,0.33,28,43
993,0.17,0.34,28,43
994,0.17,0.35,28,42
995,0.17,0.36,28,42
996,0.17,0.37,28,42
